WorkOrderNo    SoftWONo  TranNoRel      SOLineNo   QtyOrd                         WorkOrderNo;SoftWONo;TranNoRel;SOLineNo;QtyOrd;LineStatus;TranDate;PromiseDate;ItemID;ItemShortDesc;Hold;HoldReason;CustName;PrintedExpectShipRpt;QtyOnBO;QtyShip;QtyInvcd;QtyOpenToShip;OrderHold;OrderHoldReason
00022001;;0000094334;1;1.00000000;Open;2019-07-05 00:00:00;2019-08-02 00:00:00;101-115;A18664-1;False;;PARAGON MEDICAL SUPPLY;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;00021650;0000093685;1;1.00000000;Open;2019-06-21 00:00:00;2019-08-02 00:00:00;101-117;A18664S;False;;ACTIVE PLUMBING SUPPLY;Y;.00000000;.00000000;.00000000;1.00000000;False;
00021802;;0000093930;1;1.00000000;Open;2019-06-26 00:00:00;2019-07-26 00:00:00;101-124;A18665-0;False;;MOUNTAINLAND SUPPLY CO;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000094033;6;1.00000000;Open;2019-06-12 00:00:00;2019-07-19 00:00:00;101-126;A18665-2;False;;JUST CONSIGNED REPLENISHMENT;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021944;;0000094155;1;2.00000000;Open;2019-07-01 00:00:00;2019-08-09 00:00:00;101-126;A18665-2;False;;PORTLAND GROUP, THE;Y;2.00000000;.00000000;.00000000;2.00000000;False;
;00021771;0000093863;1;1.00000000;Open;2019-06-25 00:00:00;2019-08-14 00:00:00;101-127;A18665S;False;;SOUTHERN PIPE & SUPPLY;Y;.00000000;.00000000;.00000000;1.00000000;False;
;00021407;0000093283;1;11.00000000;Open;2019-06-14 00:00:00;2019-08-02 00:00:00;101-130;A18665-TVB;False;;EXPRESS PIPE & SUPPLY;Y;.00000000;.00000000;.00000000;11.00000000;False;
;00021439;0000093397;1;1.00000000;Open;2019-06-17 00:00:00;2019-07-19 00:00:00;101-130;A18665-TVB;False;;GRAINGER-CATALOG;Y;.00000000;.00000000;.00000000;1.00000000;False;
;;0000093997;1;5.00000000;Open;2019-06-27 00:00:00;2099-12-31 00:00:00;101-135;A28065;False;;FERGUSON ENT. #228;Y;5.00000000;.00000000;.00000000;5.00000000;False;
00021681;;0000093728;5;3.00000000;Open;2019-06-21 00:00:00;2019-08-12 00:00:00;101-137;A33338-0;False;;FERGUSON ENT. #66;Y;3.00000000;.00000000;.00000000;3.00000000;False;
;;0000094136;1;1.00000000;Open;2019-07-01 00:00:00;2019-07-15 00:00:00;101-138;A33338-1;False;;NYCOM INC.;Y;.00000000;.00000000;.00000000;1.00000000;False;
00020976;;0000092650;1;1.00000000;Open;2019-06-04 00:00:00;2019-07-22 00:00:00;101-139;A33338-2;False;;TREATY SUPPLY #124;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00022021;;0000094360;1;2.00000000;Open;2019-07-08 00:00:00;2099-12-31 00:00:00;101-141;A33338-32;False;;FAMOUS MANUFACTURING;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021664;;0000093627;1;1.00000000;Open;2019-06-12 00:00:00;2019-07-09 00:00:00;101-141;A33338-32;False;;JUST CONSIGNED REPLENISHMENT;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;00021490;0000093385;1;1.00000000;Open;2019-06-17 00:00:00;2019-07-17 00:00:00;101-145;A33338S;False;;W H C I   ;Y;.00000000;.00000000;.00000000;1.00000000;False;
;00021907;0000094121;1;2.00000000;Open;2019-07-01 00:00:00;2019-08-21 00:00:00;101-149;A35929-14-T;False;;COLUMBIA PIPE & SUPPLY;Y;.00000000;.00000000;.00000000;2.00000000;False;
;;0000093677;1;3.00000000;Open;2019-06-21 00:00:00;2019-07-29 00:00:00;101-152;A37734;False;;VWR INTERNATIONAL;Y;.00000000;.00000000;.00000000;3.00000000;False;
;;0000093058;1;7.00000000;Open;2019-06-11 00:00:00;2019-08-20 00:00:00;101-153;A39056;False;;MOUNTAINLAND SUPPLY;Y;6.00000000;.00000000;.00000000;7.00000000;False;
00021655;;0000093745;1;1.00000000;Open;2019-06-24 00:00:00;2019-07-22 00:00:00;101-161;A46712L-1;False;;FERGUSON ENT. #774;Y;1.00000000;.00000000;.00000000;1.00000000;False;
